Year,Quarter,EIN,Address,City,State,Zip,County,naics
2006,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2006,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2006,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2006,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2006,1,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2006,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2006,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2006,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2006,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2006,2,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2006,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2006,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2006,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2006,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2006,3,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2006,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2006,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2006,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2006,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2006,4,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2007,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2007,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2007,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2007,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2007,1,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2007,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2007,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2007,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2007,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2007,2,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2007,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2007,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2007,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2007,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2007,3,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2007,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2007,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2007,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2007,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2007,4,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2008,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2008,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2008,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2008,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2008,1,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2008,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2008,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2008,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2008,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2008,2,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2008,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2008,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2008,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2008,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2008,3,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2008,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2008,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2008,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2008,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2008,4,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2009,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2009,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2009,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2009,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2009,1,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2009,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2009,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2009,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2009,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2009,2,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2009,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2009,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2009,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2009,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2009,3,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2009,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2009,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2009,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2009,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
