OID_,Join_Count,TARGET_FID,Year,Quarter,EIN,Address,City,State,Zip,County,naics,GEOID,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,NAME,NAMELSAD,INTPTLAT,INTPTLON
1,1,1,2006.000000000000000,1.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
2,1,2,2006.000000000000000,1.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
3,1,3,2006.000000000000000,1.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
4,1,4,2006.000000000000000,2.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
5,1,5,2006.000000000000000,1.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
6,1,6,2006.000000000000000,2.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
7,1,7,2006.000000000000000,2.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
8,1,8,2006.000000000000000,3.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
9,1,9,2006.000000000000000,1.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
10,1,10,2006.000000000000000,2.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
