OID_,Year,Quarter,EIN,Address,City,State,Zip,County,naics,OBJECTID,Join_Count,TARGET_FID,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
1,2006,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,1,1,1,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
2,2006,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,2,1,2,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
3,2006,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,3,1,3,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
4,2006,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,4,1,4,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
5,2006,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,5,1,5,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
6,2006,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,6,1,6,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
7,2006,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,7,1,7,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
8,2006,1,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,8,1,8,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
9,2006,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,9,1,9,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
10,2006,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,10,1,10,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
11,2006,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,11,1,11,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
12,2006,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,12,1,12,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
13,2006,2,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,13,1,13,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
14,2006,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,14,1,14,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
15,2006,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,15,1,15,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
