"address","city","state","zip","full_address","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side","state_fips","county_fips","census_tract","census_block"
"c/o 4030 som center","moreland hills","OH",44022,"c/o 4030 som center, moreland hills, OH, 44022",41.4479992745011,-81.4434867368684,1,"c/o 4030 som center, moreland hills, OH, 44022, , , ","Match","Non_Exact","4030 SOM CENTER RD, MORELAND HILLS, OH, 44022","61136249","R","39","035","196300","3002"
"8250 dow cir","strongsvil","OH",NA,"8250 dow cir, strongsvil, OH, NA",41.347039896065,-81.805578292361,2,"8250 dow cir, strongsvil, OH, NA, , , ","Match","Non_Exact","8250 DOW CIR, STRONGSVILLE, OH, 44136","61148998","R","39","035","186107","1001"
"4090 drake marshall rd","georgetown","OH",45121,"4090 drake marshall rd, georgetown, OH, 45121",38.811569064334,-83.9152134461739,3,"4090 drake marshall rd, georgetown, OH, 45121, , , ","Match","Exact","4090 DRAKE MARSHALL RD, GEORGETOWN, OH, 45121","606302770","L","39","015","951800","1035"
"3995 commercial blvd","cincinnati","OH",NA,"3995 commercial blvd, cincinnati, OH, NA",39.0668567781577,-84.2951945107141,4,"3995 commercial blvd, cincinnati, OH, NA, , , ","Match","Non_Exact","3995 COMMERCIAL BLVD, CINCINNATI, OH, 45245","118455450","L","39","025","041305","2001"
"2515 mcdowell st ne","canton","OH",44721,"2515 mcdowell st ne, canton, OH, 44721",40.8704071091276,-81.3373874272665,5,"2515 mcdowell st ne, canton, OH, 44721, , , ","Match","Exact","2515 MCDOWELL ST NE, CANTON, OH, 44721","64676835","L","39","151","712202","1021"
"4340-4350 glendale-milford road","cincinnati","OH",45242,"4340-4350 glendale-milford road, cincinnati, OH, 45242",39.2524582323964,-84.3906282755199,6,"4340-4350 glendale-milford road, cincinnati, OH, 45242, , , ","Match","Non_Exact","4350 GLENDALE MILFORD RD, CINCINNATI, OH, 45242","103945239","L","39","061","023501","1011"
"120 bloomfield st","camden","OH",NA,"120 bloomfield st, camden, OH, NA",39.6313543988229,-84.6494429670482,7,"120 bloomfield st, camden, OH, NA, , , ","Match","Non_Exact","120 BLOOMFIELD ST, CAMDEN, OH, 45311","54596692","L","39","135","470102","1058"
"799 s 2nd st","ripley","OH",NA,"799 s 2nd st, ripley, OH, NA",38.734076524156,-83.8384231211414,8,"799 s 2nd st, ripley, OH, NA, , , ","Match","Non_Exact","799 S 2ND ST, RIPLEY, OH, 45167","100971838","L","39","015","951700","1028"
"14310 sr 37","forest","OH",NA,"14310 sr 37, forest, OH, NA",40.7857546721673,-83.4720212747407,9,"14310 sr 37, forest, OH, NA, , , ","Match","Non_Exact","14310 STATE RTE 37, FOREST, OH, 45843","639713951","L","39","175","938200","3016"
"62 elm st","fort loramie","OH",NA,"62 elm st, fort loramie, OH, NA",40.3511696702364,-84.363599307962,10,"62 elm st, fort loramie, OH, NA, , , ","Match","Non_Exact","62 ELM ST, FORT LORAMIE, OH, 45845","621985750","R","39","149","971600","2032"
"3090 w market st ste 118","akron","OH",44333,"3090 w market st ste 118, akron, OH, 44333",41.1296615877449,-81.6132987493041,11,"3090 w market st ste 118, akron, OH, 44333, , , ","Match","Exact","3090 W MARKET ST, AKRON, OH, 44333","61336405","L","39","153","532202","4011"
"18000 sr 4 ste d rm 197","marysville","OH",43040,"18000 sr 4 ste d rm 197, marysville, OH, 43040",40.2622496877975,-83.3647002541946,12,"18000 sr 4 ste d rm 197, marysville, OH, 43040, , , ","Match","Non_Exact","18000 STATE RTE 4, MARYSVILLE, OH, 43040","640105149","R","39","159","050303","1032"
"8210 lancaster newark rd ne","baltimore","OH",43105,"8210 lancaster newark rd ne, baltimore, OH, 43105",39.844357268101,-82.5681478617171,13,"8210 lancaster newark rd ne, baltimore, OH, 43105, , , ","Match","Exact","8210 LANCASTER-NEWARK RD NE, BALTIMORE, OH, 43105","643186426","R","39","045","030200","1036"
"18099 lorain avenue suit","cleveland","OH",44111,"18099 lorain avenue suit, cleveland, OH, 44111",41.4509333473648,-81.8234346355413,14,"18099 lorain avenue suit, cleveland, OH, 44111, , , ","Match","Non_Exact","18099 LORAIN AVE, CLEVELAND, OH, 44111","61098944","L","39","035","123603","2001"
"850 columbia rd ste 103","westlake","OH",44145,"850 columbia rd ste 103, westlake, OH, 44145",41.4747681518091,-81.9015473402482,15,"850 columbia rd ste 103, westlake, OH, 44145, , , ","Match","Exact","850 COLUMBIA RD, WESTLAKE, OH, 44145","61148765","R","39","035","189105","4006"
"44 e main st","shelby","OH",NA,"44 e main st, shelby, OH, NA",40.8812796695396,-82.6612060705132,16,"44 e main st, shelby, OH, NA, , , ","Match","Non_Exact","44 W MAIN ST, SHELBY, OH, 44875","207225415","L","39","139","002600","2010"
"156 e spring valley pike ste","centerville","OH",45458,"156 e spring valley pike ste, centerville, OH, 45458",39.613548972651,-84.1576524376156,17,"156 e spring valley pike ste, centerville, OH, 45458, , , ","Match","Non_Exact","156 SPRING VALLEY PIKE, CENTERVILLE, OH, 45458","643160585","R","39","113","040306","1001"
"8440 station st","mentor","OH",44060,"8440 station st, mentor, OH, 44060",41.6782863129519,-81.3385206209038,18,"8440 station st, mentor, OH, 44060, , , ","Match","Exact","8440 STATION ST, MENTOR, OH, 44060","137462470","R","39","085","206500","2050"
"452 crawford dr","dayton","OH",45434,"452 crawford dr, dayton, OH, 45434",39.7029162382005,-84.0640826469102,19,"452 crawford dr, dayton, OH, 45434, , , ","Match","Exact","452 CRAWFORD DR, DAYTON, OH, 45434","636587495","R","39","057","210500","1016"
