fips_id,year,total_wages,avg_persons,establishments,entrants,exits
3900108350,2006,300546,17,6,6,1
3900108350,2007,228543,16,6,1,0
3900108350,2008,279148,15,7,1,0
3900108350,2009,246087,14,7,0,2
3900108350,2010,179993,12,5,0,1
3900108350,2011,267130,14,6,2,0
3900108350,2012,270934,14,6,0,1
3900108350,2013,260022,16,7,2,1
3900108350,2014,340448,15,8,2,1
3900108350,2015,406899,17,9,2,2
3900108350,2016,251232,12,7,0,0
3900108350,2017,345574,15,9,2,0
3900108350,2018,507487,20,10,1,1
3900108350,2019,683363,23,11,2,1
3900108350,2020,5261457,33,10,0,10
3900109722,2006,605067,35,15,15,2
3900109722,2007,872203,40,14,2,2
3900109722,2008,691398,35,16,3,2
3900109722,2009,758108,34,17,3,2
3900109722,2010,749991,34,16,1,0
3900109722,2011,900204,40,18,2,2
3900109722,2012,908478,43,17,1,2
3900109722,2013,915457,44,15,0,0
3900109722,2014,972758,44,16,1,1
3900109722,2015,1272509,48,15,0,0
3900109722,2016,1189604,44,16,1,1
3900109722,2017,1228353,44,16,1,3
3900109722,2018,1424354,49,14,1,1
3900109722,2019,1424699,43,13,0,0
3900109722,2020,1181772,40,14,1,14
3900128196,2006,23037535,387,19,19,1
3900128196,2007,24713817,382,21,3,1
3900128196,2008,24800737,413,22,2,3
3900128196,2009,25894398,385,21,2,3
3900128196,2010,25490899,383,19,1,1
3900128196,2011,28486058,407,18,1,0
3900128196,2012,30680915,431,19,1,1
3900128196,2013,33399685,438,18,0,1
3900128196,2014,37698282,455,17,0,2
3900128196,2015,43015075,493,19,4,0
3900128196,2016,44300099,523,20,1,1
3900128196,2017,41970296,524,20,1,0
3900128196,2018,44652417,546,21,0,1
3900128196,2019,49666712,607,25,6,3
3900128196,2020,40137153,518,25,2,25
3900131668,2006,128260,9,4,4,0
3900131668,2007,124458,7,4,0,0
3900131668,2008,119765,6,4,0,0
3900131668,2009,98865,5,5,1,1
3900131668,2010,19882,3,5,1,0
3900131668,2011,16194,2,5,0,0
3900131668,2012,26804,3,6,1,3
3900131668,2013,35799,3,3,0,1
3900131668,2014,35162,2,2,0,1
3900131668,2015,28995,1,1,0,0
3900131668,2016,30855,1,2,1,0
3900131668,2017,12857,1,2,0,1
3900131668,2018,21234,0,2,1,1
3900131668,2019,129270,2,1,0,0
3900131668,2020,366228,6,1,0,1
3900138486,2006,923654,40,7,7,1
3900138486,2007,1076350,42,8,2,0
3900138486,2008,1084970,40,8,0,2
3900138486,2009,887011,37,6,0,0
3900138486,2010,999136,42,7,1,0
3900138486,2011,832015,35,7,0,1
3900138486,2012,751055,35,7,1,0
3900138486,2013,878448,35,8,1,1
3900138486,2014,1046572,40,7,0,0
3900138486,2015,1082480,40,7,0,1
3900138486,2016,1132531,43,6,0,0
3900138486,2017,1079432,41,6,0,1
3900138486,2018,1227383,42,5,0,0
3900138486,2019,1181773,43,6,1,1
3900138486,2020,1332570,47,6,1,6
3900142,2006,6410310,136,12,12,3
3900142,2007,17888299,302,11,2,1
3900142,2008,26010086,394,11,1,2
3900142,2009,36467135,504,9,0,0
3900142,2010,41166010,543,9,0,1
3900142,2011,38313833,504,9,1,2
3900142,2012,37456594,496,8,1,0
3900142,2013,41976582,496,12,4,1
3900142,2014,39821629,466,15,4,1
3900142,2015,38823453,453,15,1,1
3900142,2016,39826679,462,15,1,1
3900142,2017,40137297,423,15,1,1
3900142,2018,31980499,382,15,1,1
3900142,2019,2200247,61,14,0,1
3900142,2020,2075918,55,15,2,15
3900143036,2006,5056210,148,18,18,1
3900143036,2007,5054396,152,19,2,0
3900143036,2008,6032603,162,20,1,0
3900143036,2009,6951273,173,20,0,1
3900143036,2010,7871466,190,21,2,1
3900143036,2011,6909030,191,21,1,1
3900143036,2012,6614638,170,22,2,3
3900143036,2013,6701705,175,20,1,3
3900143036,2014,6104769,176,19,2,0
3900143036,2015,7059999,206,21,2,2
3900143036,2016,7930949,219,20,1,0
3900143036,2017,8244199,215,20,0,2
3900143036,2018,8434961,212,20,2,1
3900143036,2019,8839279,213,22,3,2
3900143036,2020,13544510,281,21,1,21
3900148888,2006,7054645,274,21,21,2
3900148888,2007,6429898,242,26,7,10
3900148888,2008,6672222,235,17,1,3
3900148888,2009,6080991,212,14,0,1
3900148888,2010,5886142,204,13,0,1
3900148888,2011,5561522,200,13,1,2
3900148888,2012,4951785,185,14,3,0
3900148888,2013,4944233,186,18,4,4
3900148888,2014,5229931,194,16,2,3
3900148888,2015,6030101,222,18,5,2
3900148888,2016,5907558,216,17,1,4
3900148888,2017,4473356,154,14,1,2
3900148888,2018,4858158,155,17,5,1
3900148888,2019,5053453,169,19,3,1
3900148888,2020,5698059,165,21,3,21
3900151268,2006,29436287,468,7,7,0
3900151268,2007,27939539,463,9,2,2
3900151268,2008,19470349,370,8,1,2
3900151268,2009,11074298,157,6,0,0
3900151268,2010,11569309,161,6,0,0
3900151268,2011,11999892,147,7,1,0
3900151268,2012,10972839,136,7,0,0
3900151268,2013,11593098,136,7,0,1
3900151268,2014,11246871,130,6,0,0
