tendigit_fips,year,subdivisionname,subdivisiontype,county,taxtype,purpose2,description,duration,millagepercent,votesfor,votesagainst,votes_pct_for,votes_pct_against,fips_id,margin_against,failed_levy,close_3,close_5,close_7_5
3900108350,2014,Bratton,Township,Adams,Property,roads,A,5,2,159,207,43.442623138427734,56.557376861572266,3900108350,6.557376861572266,1,0,0,1
3900108350,2015,Bratton,Township,Adams,Property,roads,A,5,2,228,210,52.05479431152344,47.94520568847656,3900108350,-2.0547943115234375,0,1,1,1
3900108350,2020,Bratton,Township,Adams,property,roads,R,5,2,449,270,62.447845458984375,37.552154541015625,3900108350,-12.447845458984375,0,0,0,0
3900147012,1992,Manchester,Village,Adams,Property,roads,A,5,1,282,209,57.433807373046875,42.566192626953125,3947012,-7.433807373046875,0,0,0,1
3900147012,2016,Manchester,Village,Adams,Property,roads,A,5,5,252,1353,15.700934410095215,84.29906463623047,3947012,34.29906463623047,1,0,0,0
3900147012,2020,Manchester,Village,Adams,property,roads,R,5,5,416,171,70.86882781982422,29.13117218017578,3947012,-20.86882781982422,0,0,0,0
3900158366,2020,Oliver,Township,Adams,property,roads,A,5,2,243,231,51.26582336425781,48.73417663574219,3900158366,-1.2658233642578125,0,1,1,1
3900171206,2018,Seaman,Village,Adams,Property,roads,A,5,2,252,87,74.3362808227539,25.663719177246094,3971206,-24.336280822753906,0,0,0,0
3900171206,2021,Seaman,Village,Adams,property,roads,R,5,2,126,38,76.82926940917969,23.170730590820313,3971206,-26.829269409179688,0,0,0,0
3900184294,1993,West Union,Village,Adams,Property,roads,R,5,2,475,124,79.298828125,20.701171875,3984294,-29.298828125,0,0,0,0
3900184294,1997,West Union,Village,Adams,Property,roads,R,5,.5,247,85,74.39759063720703,25.60240936279297,3984294,-24.39759063720703,0,0,0,0
3900184294,2001,West Union,Village,Adams,Property,roads,R,5,2,537,323,62.44186019897461,37.55813980102539,3984294,-12.44186019897461,0,0,0,0
3900184294,2006,West Union,Village,Adams,Property,roads,R,5,2.5,305,502,37.7943000793457,62.2056999206543,3984294,12.205699920654297,1,0,0,0
3900184294,2007,West Union,Village,Adams,Property,roads,R,5,2.5,329,372,46.932952880859375,53.067047119140625,3984294,3.067047119140625,1,0,1,1
3900184294,2011,West Union,Village,Adams,Property,roads,A,5,2.5,174,554,23.901098251342773,76.0988998413086,3984294,26.098899841308594,1,0,0,0
3900184294,2013,West Union,Village,Adams,Property,roads,A,5,2.5,262,298,46.78571319580078,53.21428680419922,3984294,3.2142868041992188,1,0,1,1
3900185876,2019,Winchester,Village,Adams,property,roads,A,5,1.5,111,52,68.09815979003906,31.901840209960938,3985876,-18.098159790039063,0,0,0,0
3900327944,1992,Fort Shawnee,Village,Allen,Property,roads,R,-999,1,1165,899,56.44379806518555,43.55620193481445,3927944,-6.443798065185547,0,0,0,1
3900327944,1997,Fort Shawnee,Village,Allen,Property,roads,R,5,1,859,446,65.8237533569336,34.176246643066406,3927944,-15.823753356933594,0,0,0,0
3900327944,2002,Fort Shawnee,Village,Allen,Property,roads,R,5,1,869,349,71.346466064453125,28.653533935546875,3927944,-21.346466064453125,0,0,0,0
3900327944,2007,Fort Shawnee,Village,Allen,Property,roads,R,5,1,587,382,60.57791519165039,39.42208480834961,3927944,-10.57791519165039,0,0,0,0
3900334118,1998,Harrod,Village,Allen,Property,roads,R,5,1.8,59,19,75.64102935791016,24.358970642089844,3934118,-25.641029357910156,0,0,0,0
3900371955,2006,Shawnee,Township,Allen,Property,roads,A,1000,.75,1389,1966,41.40089416503906,58.59910583496094,3900371955,8.5991058349609375,1,0,0,0
3900502568,2014,Ashland,City,Ashland,Income,roads,A,5,.25,2232,2567,46.50968933105469,53.49031066894531,3902568,3.4903106689453125,1,0,1,1
3900502568,2015,Ashland,City,Ashland,Income,roads,A,5,.25,2317,2956,43.94083023071289,56.05916976928711,3902568,6.059169769287109,1,0,0,1
3900502568,2016,Ashland,City,Ashland,Income,roads,A,5,.25,4730,3680,56.24256896972656,43.75743103027344,3902568,-6.2425689697265625,0,0,0,1
3900502568,2020,Ashland,City,Ashland,income,roads,R,5,.25,2372,635,78.88260650634766,21.117393493652344,3902568,-28.882606506347656,0,0,0,0
3900503562,2018,Bailey Lakes,Village,Ashland,Property,roads,A,5,5,73,72,50.344825744628906,49.655174255371094,3903562,-0.34482574462890625,0,1,1,1
3900515672,1995,Clear Creek,Township,Ashland,Property,roads,A,5,2,215,169,55.98958206176758,44.01041793823242,3900515672,-5.989582061767578,0,0,0,1
3900515672,2000,Clear Creek,Township,Ashland,Property,roads,R,5,2,141,68,67.464111328125,32.535888671875,3900515672,-17.464111328125,0,0,0,0
3900515672,2002,Clear Creek,Township,Ashland,Property,roads,A,5,2.5,139,173,44.5512809753418,55.4487190246582,3900515672,5.448719024658203,1,0,0,1
3900515672,2003,Clear Creek,Township,Ashland,Property,roads,A,5,1.9,119,138,46.30350112915039,53.69649887084961,3900515672,3.6964988708496094,1,0,1,1
3900515672,2004,Clear Creek,Township,Ashland,Property,roads,R,5,2,315,184,63.126251220703125,36.873748779296875,3900515672,-13.126251220703125,0,0,0,0
3900515672,2010,Clear Creek,Township,Ashland,Property,roads,R,5,2,70,45,60.869564056396484,39.130435943603516,3900515672,-10.869564056396484,0,0,0,0
3900515672,2014,Clear Creek,Township,Ashland,Property,roads,A,5,1,143,169,45.83333206176758,54.16666793823242,3900515672,4.166667938232422,1,0,1,1
3900515672,2016,Clear Creek,Township,Ashland,Property,roads,A,5,1,318,267,54.35897445678711,45.64102554321289,3900515672,-4.358974456787109,0,0,1,1
3900515672,2019,Clear Creek,Township,Ashland,property,roads,R,5,2,131,64,67.17948913574219,32.82051086425781,3900515672,-17.179489135742188,0,0,0,0
3900515672,2021,Clear Creek,Township,Ashland,property,roads,R,5,1,139,64,68.47290802001953,31.52709197998047,3900515672,-18.47290802001953,0,0,0,0
3900531682,2014,Green,Township,Ashland,Property,roads,A,5,1.84,352,372,48.6187858581543,51.3812141418457,3900531682,1.3812141418457031,1,1,1,1
3900531682,2015,Green,Township,Ashland,Property,roads,A,5,1.84,270,318,45.918365478515625,54.081634521484375,3900531682,4.081634521484375,1,0,1,1
