	(1)	(2)	(3)	(4)
	totalexp_pp	tcapout_pp	tcurinst_pp	tstfedrev_pp
win_1	305.96262619	249.89512052	44.45178770	67.41560797
	166.31656225	143.02763828	41.03970144	120.17411893
win_2	920.48236449	822.13133101	13.19940795	-21.78092132
	225.21158400	192.87204558	54.25394465	147.69486500
win_3	1.42380e+03	1.30332e+03	1.47750293	-1.42329e+02
	297.00891049	256.89830356	59.08878293	190.31867695
win_4	1.40541e+03	1.28103e+03	-20.01709971	-19.34648569
	358.48897039	308.04337883	77.19572957	206.62473817
win_5	939.95543531	923.69461629	-20.17468577	11.13319014
	403.74912398	341.28318793	99.84935923	226.91688542
win_6	452.09291172	380.95399027	-26.92850837	-1.47918e+02
	454.82248929	372.47210787	114.86746900	260.81738922
win_7	209.40006353	211.54342420	26.54404847	-1.33787e+02
	482.86249072	401.61313399	130.10499694	267.37904766
win_8	96.65102553	135.71993469	-29.04458023	-1.25943e+02
	545.32268768	431.73737119	145.63232214	318.21516383
win_9	-3.01169e+02	-75.63281576	-71.35592973	-3.57536e+02
	576.37769093	463.91186470	161.39640833	329.00346756
win_10	-4.89740e+02	-2.05022e+02	-1.05776e+02	-2.39746e+02
	601.64463248	467.75872892	177.90376788	362.23416632
win_11	-4.23418e+02	-1.32523e+02	-1.49607e+02	-1.53284e+02
	639.89918620	499.53081448	193.58981404	379.04041858
win_12	-5.60133e+02	-2.70056e+02	-1.43960e+02	-1.24749e+02
	690.82935022	534.21019143	206.75251677	425.44955376
win_13	-5.93022e+02	-2.74885e+02	-1.76103e+02	-85.16271354
	745.68990791	582.49572333	224.81960629	450.16719182
win_14	-3.76700e+02	-1.74345e+02	-1.55541e+02	92.59271400
	790.12690193	602.39598516	245.07652299	467.14461220
win_15	-5.33533e+02	-3.92868e+02	-1.90946e+02	-44.98424152
	807.03270219	629.83912615	233.53484780	501.77736996
win_16	-7.52525e+02	-5.62823e+02	-1.98253e+02	91.35176836
	961.81730959	779.49999091	259.52749062	696.36644259
win_17	-9.42702e+02	-9.61184e+02	-1.28297e+02	322.33989412
	1.00207e+03	712.87033033	277.81198792	648.57187326
win_18	-1.51436e+03	-1.50209e+03	-31.13558320	742.19584983
	1.24257e+03	959.84011632	309.47137142	839.63845740
Observations	13405	13405	13405	13405
Standard errors in parentheses				
