"tendigit_fips","year","tax_type","purpose2","description","millage_percent","duration","votes_pct_for","fail_flg"
3900108350,2014,"Property","roads","A",2,5,43.4426229508197,1
3900108350,2015,"Property","roads","A",2,5,52.0547945205479,0
3900147012,1992,"Property","roads","A",1,5,57.4338085539715,0
3900147012,2016,"Property","roads","A",5,5,15.7009345794393,1
3900171206,2018,"Property","roads","A",2,5,74.3362831858407,0
3900184294,1993,"Property","roads","R",2,5,79.2988313856427,0
3900184294,1997,"Property","roads","R",0.5,5,74.3975903614458,0
3900184294,2001,"Property","roads","R",2,5,62.4418604651163,0
3900184294,2006,"Property","roads","R",2.5,5,37.7942998760843,1
3900184294,2007,"Property","roads","R",2.5,5,46.9329529243937,1
3900184294,2011,"Property","roads","A",2.5,5,23.9010989010989,1
3900184294,2013,"Property","roads","A",2.5,5,46.7857142857143,1
3900327944,1992,"Property","roads","R",1,-999,56.4437984496124,0
3900327944,1997,"Property","roads","R",1,5,65.823754789272,0
3900327944,2002,"Property","roads","R",1,5,71.3464696223317,0
3900327944,2007,"Property","roads","R",1,5,60.577915376677,0
3900334118,1998,"Property","roads","R",1.8,5,75.6410256410256,0
3900371955,2006,"Property","roads","A",0.75,1000,41.4008941877794,1
3900502568,2014,"Income","roads","A",0.25,5,46.5096895186497,1
3900502568,2015,"Income","roads","A",0.25,5,43.9408306466907,1
3900502568,2016,"Income","roads","A",0.25,5,56.2425683709869,0
3900503562,2018,"Property","roads","A",5,5,50.3448275862069,0
3900515672,1995,"Property","roads","A",2,5,55.9895833333333,0
3900515672,2000,"Property","roads","R",2,5,67.4641148325359,0
3900515672,2002,"Property","roads","A",2.5,5,44.5512820512821,1
3900515672,2003,"Property","roads","A",1.9,5,46.3035019455253,1
3900515672,2004,"Property","roads","R",2,5,63.12625250501,0
3900515672,2010,"Property","roads","R",2,5,60.8695652173913,0
3900515672,2014,"Property","roads","A",1,5,45.8333333333333,1
3900515672,2016,"Property","roads","A",1,5,54.3589743589744,0
3900531682,2014,"Property","roads","A",1.84,5,48.6187845303867,1
3900531682,2015,"Property","roads","A",1.84,5,45.9183673469388,1
3900533236,1994,"Property","roads","A",1.2,-999,65.7627118644068,0
3900533236,1999,"Property","roads","R",1.2,5,79.1044776119403,0
3900533236,2004,"Property","roads","R",1.2,5,66.7330677290837,0
3900533236,2009,"Property","roads","R",1.2,5,71.6577540106952,0
